asset_class,model_weight,current_weight,current_amount
Alternative,0.0,0.11937621694919988,1485288.0644265627
Equity,0.6,0.3988897827012339,4963017.327982254
Fixed Income,0.4,0.3247057352013913,4040013.7085154215
Liquidità,0.0,0.15702826514817494,1953757.7413886802
