isin,name,macro_class,classification,currency,weight_on_class,invested_capital,current_value,weight_on_ptf,quantity,avg_cost,current_price,fx_invested,fx_at_purchase,fx_current,pnl,pnl_pct,asset_sub_type
IE00BNGJJT35,Xtrackers S&P 500 Equal Weight,Equity,S&P Equal Weight,EUR,0.0620873980734008,247252.5,316250.0,0.02541383493027698,5500.0,44.955,57.5,,,,68997.5,0.27905683461239017,ETF
IE00BLNMYC90,iShares S&P 500 Equal Weight,Equity,S&P Equal Weight,EUR,0.1670242298736076,732550.0,850759.0,0.06836695270022929,9100.0,80.5,93.49,,,,118209.0,0.1613664596273292,ETF
IE00BFMXXD54,Vanguard S&P 500,Equity,S&P 500 (Vanguard),EUR,0.0560400364201045,284835.0,285447.0,0.022938507318079913,2550.0,111.7,111.94,,,,612.0,0.0021486123545210387,ETF
IE00B53SZB19,iShares Nasdaq 100,Equity,Nasdaq,EUR,0.0602900537908333,238667.5,307095.0,0.024678139566524614,250.0,954.67,1228.38,,,,68427.5,0.2867064011648004,ETF
IE00B4KBBD01,iShares MSCI NA Utilities,Equity,Utilities US,EUR,0.0442611980890062,202657.5,225450.0,0.018117151257014845,22492.508324084352,9.01,10.02,,,,22792.5,0.11246808038192517,ETF
LU0489337690,Amundi FTSE EPRA Real Estate,Equity,Real Estate EU,EUR,0.035676940442336,171675.0,181725.0,0.014603412340567855,7500.0,22.89,24.23,,,,10050.0,0.05854084753167322,ETF
IE00BM67HK77,Xtrackers MSCI World Health Care,Equity,Healthcare,EUR,0.0195402892380262,94966.95,99530.93,0.007998300792021984,2015.0,47.13,49.4,,,,4563.98,0.04805861407573898,ETF
IE00BYXG2H39,iShares Biotechnology,Equity,Healthcare Biotech US,EUR,0.0117158066156027,60003.38,59675.94,0.0047955556947639946,8186.0,7.33,7.29,,,,-327.44,-0.005457025920873124,ETF
HK0000516697,China Healthcare Biotech Fund,Equity,Healthcare Biotech Cina,USD,0.007476190479182,40228.45,38080.92,0.0030601809165947294,4396.551912568306,9.15,8.57,,,,-2550.0,-0.06338797542535196,ETF
IE00B4YBJ215,iShares Core S&P 500,Equity,SPY4,EUR,0.0486528041759106,235408.4,247819.2,0.01991473910309343,2719.9121894858463,86.55,91.11,,,,12410.8,0.05272029375332401,ETF
IE00BJ38QD84,iShares MSCI USA Small Cap,Equity,Russell2000,EUR,0.052112186386098,248732.4,265440.0,0.021330745751439433,4200.141843971631,59.22,63.2,,,,16707.6,0.0671709837560366,ETF
IE000NFR7C63,Amundi MSCI China Tech,Equity,China Tech,EUR,0.0633144217507407,295800.0,322500.0,0.025916084632456364,75000.0,3.944,4.3,,,,26700.0,0.09026369168356999,ETF
LU0908500753,Amundi Stoxx Europe 600,Equity,Europe Stoxx600,EUR,0.0534625014025371,240170.0,272318.0,0.021883461503693805,940.0,255.5,289.7,,,,32148.0,0.13385518590998044,ETF
IE00BQQP9F84,iShares Gold Producers,Equity,GDX,EUR,0.0347233958022016,114507.9,176868.0,0.01421310405201021,1800.0,63.6155,98.26,,,,62360.1,0.5445921198450063,ETF
LU1437017350,Amundi MSCI Emerging Markets,Equity,Emerging Markets,EUR,0.0313230088904206,151977.5,159547.7,0.012821245569344988,1850.0,82.15,86.24,,,,7570.2,0.04981132075471698,ETF
